Nom,Arborescence,Couleurs disponibles,Prix,Description,Volume,Dimensions
FKUv 1660 Premium,Appareils professionnels/Merchandising/Réfrigérateurs encastrables sous plan/FKUv 1660,"Acier inox, Blanc, Noir",€ 1.100,"Le Liebherr FKUv 1660 est un réfrigérateur de table pour bouteilles entièrement fini en acier inoxydable. Plage de températures allant de +1 °C à +15 °C. Conception professionnelle avec refroidissement par ventilateur, affichage numérique de la température, verrouillage et porte à fermeture automatique.",134 l,"H 83 x L 60 x D 61,5 cm"
FKUv 1663 Premium,Appareils professionnels/Merchandising/Réfrigérateurs encastrables sous plan/FKUv 1663,"Acier inox, Blanc, Noir",€ 1.250,"Le réfrigérateur universel Liebherr FKUv 1663 est un modèle de table en acier inoxydable, avec porte en verre isolant. Plage de température de +1 °C à +15 °C. Finition professionnelle avec réfrigération ventilée, affichage digital de la température, éclairage LED commutable séparément, verrou et porte à fermeture automatique.",148 l,"H 83 x L 60 x D 61,5 cm"
FKvesf 1803 Premium,Appareils professionnels/Merchandising/Réfrigérateurs encastrables sous plan/FKvesf 1803,None,€ 1.050,"Le réfrigérateur universel Liebherr FKvesf 1803 est un modèle de table avec porte en verre isolant et cadre en acier inoxydable, les parois sont peintes en argenté. Plage de température de +1 °C à +15 °C. Finition professionnelle avec réfrigération ventilée, affichage analogique de la température, verrou et plan de travail amovible.",171 l,H 85 x L 60 x D 60 cm
FKvesf 1805 Premium,Appareils professionnels/Merchandising/Réfrigérateurs encastrables sous plan/FKvesf 1805,None,€ 950,"Le modèle de table Liebherr FKvesf 1805 est un réfrigérateur universel avec porte en acier inoxydable et des parois peintes en argenté. Plage de température de +1 °C à +15 °C. Il dispose d'une réfrigération dynamique, d'un éclairage LED commutable séparément, d'un affichage digital de la température, d'un verrou et d'un plan de travail amovible.",171 l,H 85 x L 60 x D 60 cm
FKv 503 Premium,Appareils professionnels/Merchandising/Réfrigérateurs bouteilles/FKv 503,None,€ 1.200,"Le réfrigérateur minibar Liebherr FKv 503 est tout en acier inoxydable. De dimension compacte, mais en finition de luxe avec, entre autres, réfrigération dynamique, porte avec verre isolant sans poignée, éclairage de plafond LED commutable séparément et verrou. Le modèle FKv 503 peut aussi être suspendu.",44 l,"H 61,2 x L 42,5 x D 45 cm"
MRFec 3501 Performance,Appareils professionnels/Merchandising/Réfrigérateurs bouteilles/MRFec 3501,None,€ 1.200,"Ce réfrigérateur à bouteilles Liebherr a une plage de température de +2 °C à +9 °C. La porte se ferme automatiquement, de sorte que les portes ouveêtes appartiennent au passé. Pour un remplissage confortable, la porte reste ouverte à un angle d'ouverture supérieur à 90°. Les grilles renforcées avec butée d'extraction intégrée peuvent supporter des charges allant jusqu'à 45 kg et grâce à l'intérieur étanche, le réfrigérateur peut être nettoyé avec le tuyau d'eau après un évènement.",327 l,"H 168,4 x L 59,7 x D 65,4 cm"
MRFec 4001 Performance,Appareils professionnels/Merchandising/Réfrigérateurs bouteilles/MRFec 4001,None,€ 1.300,"Ce réfrigérateur à bouteilles Liebherr a une plage de température de +2 °C à +9 °C. La porte se ferme automatiquement, de sorte que les portes ouveêtes appartiennent au passé. Pour un remplissage confortable, la porte reste ouverte à un angle d'ouverture supérieur à 90°. Les grilles renforcées avec butée d'extraction intégrée peuvent supporter des charges allant jusqu'à 45 kg et grâce à l'intérieur étanche, le réfrigérateur peut être nettoyé avec le tuyau d'eau après un évènement.",377 l,"H 188,4 x L 59,7 x D 65 cm"
MRFvc 3501 Performance,Appareils professionnels/Merchandising/Réfrigérateurs bouteilles/MRFvc 3501,None,€ 1.100,"Ce réfrigérateur à bouteilles Liebherr a une plage de température de +2 °C à +9 °C. La porte se ferme automatiquement, de sorte que les portes ouveêtes appartiennent au passé. Pour un remplissage confortable du réfrigérateur, la porte reste ouverte à un angle d'ouverture supérieur à 90°. Les grilles de support renforcées avec butée d'extraction intégrée peuvent être chargées jusqu'à 45 kg et la température peut être lue via le display analogique à l'intérieur.",327 l,"H 168,4 x L 59,7 x D 65,4 cm"
MRFvc 3511 Performance,Appareils professionnels/Merchandising/Réfrigérateurs bouteilles/MRFvc 3511,None,€ 1.250,"Ce réfrigérateur à bouteilles Liebherr a une plage de température de +2 °C à +9 °C. La porte vitrée se ferme automatiquement, de sorte que les portes ouveêtes appartiennent au passé. Pour un remplissage confortable du réfrigérateur, la porte reste ouverte à un angle d'ouverture supérieur à 90°. L'éclairage au plafond garantit que le contenu est toujours clairement visible. Les grilles de support renforcées avec butée d'extraction intégrée peuvent supporter jusqu'à 45 kg et la température peut être lue via le",347 l,"H 168,4 x L 59,7 x D 65,4 cm"
MRFvc 4001 Performance,Appareils professionnels/Merchandising/Réfrigérateurs bouteilles/MRFvc 4001,None,€ 1.200,"Ce réfrigérateur à bouteilles Liebherr a une plage de température de +2 °C à +9 °C. La porte se ferme automatiquement, de sorte que les portes ouveêtes appartiennent au passé. Pour un remplissage confortable du réfrigérateur, la porte reste ouverte à un angle d'ouverture supérieur à 90°. Les grilles de support renforcées avec butée d'extraction intégrée peuvent être chargées jusqu'à 45 kg et la température peut être lue via le display analogique à l'intérieur.",377 l,"H 188,4 x L 59,7 x D 65,4 cm"
